idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
7264,SP,3543402,RIBEIRÃO PRETO,Centro,0.2,24/07/26 20:50,2,10,25.4,33.2,34.6,34.6,34.6,34.6,1,0
4067,SP,3529401,MAUÁ,Jardim Anchieta,0,24/07/26 20:10,-,-,-,-,-,0.99,0.99,0.99,1,0
3900,SP,3551009,SÃO VICENTE,Parque Prainha,0.39,24/07/26 20:40,2.36,2.96,4.15,5.34,6.93,9.12,9.12,9.12,1,0
4392,SP,3543253,RIBEIRÃO GRANDE,Centro,0,21/01/25 17:50,-,-,-,-,-,-,-,-,1,0
3677,SP,3550308,SÃO PAULO,Jardim Anhanguera,0,18/12/25 20:40,-,-,-,-,-,-,-,-,1,0
9905,SP,3548500,SANTOS,Nicho VI - Monte Serrat,0,24/07/26 20:10,-,-,-,-,-,-,-,-,10,0
7237,SP,3522158,ITAÓCA,Centro,0,16/01/25 22:20,-,-,-,-,-,-,-,-,1,0
4112,SP,3548708,SÃO BERNARDO DO CAMPO,Rudge Ramos,0,24/07/26 20:10,-,-,-,-,-,1.4,1.4,1.4,1,0
4097,SP,3547809,SANTO ANDRÉ,Humaitá,0,24/07/26 20:50,-,-,-,-,-,0.99,0.99,0.99,1,0
4372,SP,3525003,JANDIRA,Parque das Iglesias,0,24/07/26 20:50,-,-,-,-,-,3.95,3.95,3.95,1,0
4062,SP,3513801,DIADEMA,Centro,0,24/07/26 20:20,-,-,-,-,-,1.39,1.39,1.39,1,0
7256,SP,3531803,MONTE MOR,Rod Conego C S Pires,0.2,24/07/26 10:10,-,-,-,0.6,3,3.2,3.2,3.2,1,0
7226,SP,3506003,BAURU,ETA Jd Ouro Verde,0.8,15/05/25 12:40,-,-,-,-,-,-,-,-,1,0
3468,SP,3510500,CARAGUATATUBA,Indaiá,0,24/07/26 21:00,-,-,-,-,-,-,-,-,1,0
3654,SP,3518701,GUARUJÁ,Pereque,0,23/07/26 16:30,-,-,-,-,-,-,-,-,1,0
3615,SP,3550308,SÃO PAULO,Vila Clementino,0,24/07/26 21:00,-,-,-,-,-,1.19,1.19,1.19,1,0
3623,SP,3550308,SÃO PAULO,Mooca,0,15/07/25 16:30,-,-,-,-,-,-,-,-,1,0
3484,SP,3550704,SÃO SEBASTIÃO,Pontal da Cruz,0,24/07/26 20:20,-,-,-,-,0.2,0.2,0.2,0.2,1,0
7690,SP,3520509,INDAIATUBA,Fatec,0.2,24/07/26 20:40,0.2,0.6,1.2,3.2,4.2,4.4,4.4,4.4,1,0
6587,SP,3506003,BAURU,Rio Batalha,0.2,12/06/26 11:20,-,-,-,-,-,-,-,-,3,0
8125,SP,3507100,BOM JESUS DOS PERDÕES,Centro,0,24/07/26 20:20,-,0.4,1.4,2.2,2.4,2.4,2.4,2.4,1,0
3087,SP,3550308,SÃO PAULO,Vila das Belezas,0,18/07/26 23:40,-,-,-,-,-,-,-,-,1,0
6331,SP,3538600,PIRACAIA,Caras,0.2,24/07/26 19:50,-,1.02,2.24,3.06,3.06,3.06,3.06,3.26,1,0
7064,SP,3525003,JANDIRA,Centro,0,24/07/26 21:00,-,-,-,-,-,3.2,3.2,3.2,1,0
6435,SP,3509502,CAMPINAS,Vila Aeroporto,0,24/07/26 20:50,-,0.79,3.37,3.97,6.33,6.53,6.53,6.53,1,0
3471,SP,3510500,CARAGUATATUBA,Getuba,0,24/07/26 20:50,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0
4344,SP,3507605,BRAGANÇA PAULISTA,Jardim São José,0,22/03/26 16:00,-,-,-,-,-,-,-,-,1,0
3861,SP,3524600,JACUPIRANGA,Pindauba,0,23/10/23 14:20,-,-,-,-,-,-,-,-,1,0
3868,SP,3531100,MONGAGUÁ,Centro,0.2,24/07/26 20:40,0.8,2.6,5.8,8,8.4,11.76,11.76,11.76,1,0
8122,SP,3502903,ARAÇOIABA DA SERRA,Centro,0,17/09/25 12:40,-,-,-,-,-,-,-,-,1,0
3550,SP,3549904,SÃO JOSÉ DOS CAMPOS,Jardim Altos de Santana,0,24/07/26 20:00,-,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1,0
3090,SP,3550308,SÃO PAULO,Boa Esperança,0,24/09/24 17:50,-,-,-,-,-,-,-,-,1,0
7684,SP,3502754,ARAÇARIGUAMA,Centro,0,24/07/26 21:00,-,-,-,0.2,0.6,2,2,2,1,0
6445,SP,3524006,ITUPEVA,Santa Fé,0.2,24/07/26 15:10,-,-,0.2,0.2,0.2,0.2,0.2,0.2,1,0
4060,SP,3513801,DIADEMA,Taboão,0,24/07/26 20:10,-,-,-,-,-,1.39,1.39,1.39,1,0
3478,SP,3520400,ILHABELA,São Pedro,0,24/07/26 21:00,-,-,-,2.98,2.98,2.98,2.98,2.98,1,0
8157,SP,3538709,PIRACICABA,Vila Rezende,0,24/07/26 14:50,-,-,-,-,-,-,-,-,1,0
3859,SP,3523305,ITARIRI,Ana Dias,0,24/07/26 20:00,-,-,-,-,-,-,-,-,1,0
4366,SP,3522307,ITAPETININGA,Centro,0,24/07/26 20:50,-,-,0.59,0.79,2.57,10.85,10.85,10.85,1,0
