idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
3529,RJ,3305703,SUMIDOURO,Centro,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3534,RJ,3303302,NITERÓI,Praia João Caetano,0,04/06/24 12:50,-,-,-,-,-,-,-,-,1,0
3272,RJ,3302452,MACUCO,Bairro Reta,0,24/07/26 20:40,-,-,-,-,-,-,-,-,1,0
7533,RJ,3300456,BELFORD ROXO,Parque Fluminense,0,24/07/26 20:10,-,-,0.4,0.4,0.4,0.4,0.4,0.4,1,0
7555,RJ,3302254,ITATIAIA,Maromba,0,24/07/26 21:10,0.4,1.2,2.8,2.8,2.8,2.8,2.8,2.8,1,0
3699,RJ,3301900,ITABORAÍ,Sambaetiba,0,11/11/25 14:40,-,-,-,-,-,-,-,-,1,0
3735,RJ,3304144,QUEIMADOS,Estrada Rio do Ouro,0,14/07/26 20:00,-,-,-,-,-,-,-,-,1,0
3347,RJ,3305802,TERESÓPOLIS,Parque do Imbui,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7560,RJ,3302809,MENDES,Centro,0,12/11/25 15:10,-,-,-,-,-,-,-,-,1,0
3438,RJ,3300100,ANGRA DOS REIS,Praia Brava,0,23/07/26 22:10,-,-,-,-,-,-,-,-,1,0
3358,RJ,3305901,TRAJANO DE MORAES,Sede Defesa Civil,0,24/07/26 21:00,-,-,-,-,-,-,-,-,1,0
13814,RJ,3303906,PETRÓPOLIS,São Sebastião - Geo,0.2,24/07/26 20:50,0.2,0.4,0.4,0.8,0.8,0.8,0.8,0.8,10,0
3350,RJ,3305802,TERESÓPOLIS,Tres Corregos,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
7540,RJ,3300704,CABO FRIO,Aquarius,0,04/01/24 03:50,-,-,-,-,-,-,-,-,1,0
7591,RJ,3304557,RIO DE JANEIRO,Jardim Maravilha,0,21/05/25 17:00,-,-,-,-,-,-,-,-,1,0
